Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,27p,
"C10, C11, C12, C13, C14, C17, C18, C23, C24, C25, C26, C4, C5, C7, C8, C9",0402,16,0.1u,
"C15, C20",0402,2,0.47u,
"C16, C19, C3, C6",0402,4,1u,
"C21, C22, C27, C28",0603,4,4.7u,
CDONE0,LED-0603,1,GREEN,
CHG0,LED-0603,1,LED0603,
D1,LED_UHD1110-FKA-CL1A13R3Q1BBQFMF3,1,UHD1110-FKA-CL1A13R3Q1BBQFMF3,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J2,JST-2-SMD,1,CONN_02-JST-2MM-SMT,
J3,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,SM04B-SRSS-TB_LF__SN_,
"JP1, JP2, JP3, JP4",SMT-JUMPER_3_1-NC_TRACE_SILK,4,JUMPER-SMT_3_1-NC_TRACE_SILK,
"R1, R10, R15, R7",R0402,4,10k,
R11,R0402,1,953,
R12,R0402,1,R-US_R0402,
"R13, R14, R4, R5",R0402,4,5k1,
R16,0402,1,2k,
"R2, R6",R0402,2,1k,
R3,R0402,1,100k,
"R8, R9",R0402,2,27,
U$1,FEATHER_PINS,1,FEATHER_BASE,
U$2,SOD3716X117(SOD-123),1,MBR0520LT1G,
U$3,QFN-56,1,RP2040_M0+,
"U$4, U$5",3.3X2.9,2,SOF-232HST,
U1,X2-DFN2015-3,1,DMG3415U-7X2-DFN2015-3,
U2,SOT-23-5_MC-L,1,MCP73831T-2ACI/OTSOT-23-5_MC-L,
U3,DBV5-L,1,TPS73201DBVRDBV5-L,
U4,DBV5_TEX-L,1,TLV75533PDBVRDBV5_TEX-L,
U6,QFN50P700X700X100-49N,1,ICE5LP1K-SG48ITR,
U7,W25Q16JVUXIQ_WIN-L,1,W25Q16JVUXIQW25Q16JVUXIQ_WIN-L,
USER1,LED-0603,1,USER,
Y1,XTAL_ECS-327ATQMV-AS-TR,1,ECS-327ATQMV-AS-TR,
